7.271,0.875,1.935,1.595,2.645,47.915,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7.321,0.875,2.005,1.685,2.685,48.035,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7.411,0.925,2.025,1.735,2.705,48.205,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7.511,0.935,2.075,1.785,2.755,48.265,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7.581,0.955,2.105,1.815,2.775,48.295,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7.641,0.975,2.155,2.005,2.805,48.385,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7.651,1.115,2.155,2.015,2.825,48.485,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.085,1.135,2.175,2.035,3.045,48.505,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.285,1.165,2.185,2.095,3.255,48.615,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.345,1.175,2.225,2.125,3.275,48.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.365,1.175,2.235,2.155,3.315,48.655,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.375,1.195,2.435,2.185,3.325,48.815,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.415,1.215,2.485,2.365,3.405,48.855,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.445,1.375,2.545,2.395,3.445,48.865,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.455,1.515,2.705,2.455,3.495,48.975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.475,1.535,2.765,2.485,3.515,49.115,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.485,1.575,2.775,2.625,3.605,49.115,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.605,1.595,2.835,2.795,3.605,49.145,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.655,1.625,2.915,2.835,3.615,49.325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.675,1.635,3.015,2.835,3.655,49.455,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.705,1.675,3.025,2.865,3.755,49.575,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.725,1.805,3.055,2.915,3.815,49.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.795,1.935,3.065,2.945,3.845,49.695,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.865,2.005,3.175,2.965,3.945,49.795,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.895,2.055,3.255,3.025,3.995,50.185,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.965,2.075,3.365,3.025,4.135,50.285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.035,2.155,3.385,3.035,4.255,50.305,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.055,2.155,3.395,3.075,4.275,50.355,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.095,2.165,3.405,3.095,4.385,51.615,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.265,2.175,3.455,3.165,4.405,51.745,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.315,2.205,3.575,3.275,4.405,51.795,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.415,2.205,3.585,3.275,4.455,51.905,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.485,2.265,3.955,3.325,4.455,52.445,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.505,2.375,3.955,3.325,4.545,52.515,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.585,2.395,4.075,3.365,4.585,52.925,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.635,2.455,4.095,3.395,4.625,52.965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.675,2.495,4.115,3.435,4.735,53.135,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.685,2.595,4.135,3.515,4.805,53.155,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.705,2.605,4.205,3.575,4.905,53.335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.715,2.735,4.225,3.575,4.925,53.765,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.755,2.755,4.275,3.585,4.955,53.905,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.825,2.805,4.395,3.595,5.055,53.935,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.835,2.845,4.435,3.625,5.055,54.535,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
